sample,category
கசானா,gender
Gemadi pons 🤣🤣🤣🤣,gender
Eeya kaila marathondi potu ikiran jarava keriyen,gender
Idhu di a da wa🤔,gender
Ithu avena ille avela😆,gender
உத்தமனா?\n உத்தமியா? 🤔🤔,gender
குப்பர படுதா தானே நீ வேலைய காட்டிருவியே..🤣🤣🤣🤣,gender
அடேபுன்ட ஏன்டா ஹராம்டா கொம்பல மாதிரி நடிக்கிர சக்கிலியா பரதேசி ஒன்ட கொட்டய வெட்டுவோம் பேயா நடிச்சிப்பார்ரா பரதேசி,gender
999 cl me panni pesi parugo 😂,gender
என்ன எளவுடா இது வேற  படைப்பு 🤣🤣🤣9 போலதான் இருக்கு..,gender
Ponds pun**9,gender
(வேஷமகன் +வேசமகள்)÷2= 9[100%],gender
இலங்கைக்கும் இந்த நோய் வந்துடுச்சா...😳 😱 😭,gender
ஓளுக்கு போனமா மாமா 🤣,other
காகா அடி பட்டய கிளப்பி இருக்கு பொல,other
டேய் அறிவு கெட்ட மொக்குக்கூட்டம்களே செல்பி அடிச்சா ஏன்டா அத பப்ளிக்ல போட்டு அடுத்தவனுக்கு உங்கட பொண்டாட்டி மார காட்டுரிங்க,ethnicity
வெக்கம் எங்கபட்ட சாமானே இல்லையாட உங்களுக்கெல்லாம்..,ethnicity
தாடியும் ஆக்களுமா இருந்துட்டு பாக்குர வேல நீங்க எல்லாம்  சிக் தூஊஊஊ.....,ethnicity
இந்தமாதிரியான வேல பாக்குரத்த நிறுத்திக்கொள்ளுங்கடா இனிமேலாவது.....,ethnicity
பன்னாடைகள்...,ethnicity
4 appanukku porantha nayi nee innum sahalaya,other
மதங்களே பயங்கரவாத உற்பத்தி மையங்களே,religion
பயங்கரவாதம் மட்டும்தான் இருக்கிறது,religion
ஏன் இந்து மதத்தில் இல்லையா?,religion
எப்போ போர நீங்க கனடால நாய் எல்லாம் உங்கலுக்காக இருக்கு இனி உங்கலுக்கு செம்ம குஜால் தான்,ethnicity
தமிழன் சூத்தமுடிகிட்டு சும்மா இருந்தா மயிராவதும் மிஞ்சும்,ethnicity
தமிழ் நாட்டில் பிச்சைக்காரர் ஒருவர் இலங்கைக்கு பணம் கொடுத்து உதவியிருக்கிறார் \nஆனால்.................................??????,ethnicity
Poodi kutthadi,other
தமிழை அளிக்க அப்படியொரு வழி உள்ளது என்பதை உணர்த்திய உங்களுக்கு நன்றி,ethnicity
அரசியலில் இருந்து ஒதுங்கி கொள்ளுங்கள் இல்லையேல் அனைத்து அவமானங்களையும் சந்தித்து அரசியலில் இருந்து அடித்து விரட்ட படுவீர்கள் உங்களுக்கான கடைசி வாய்ப்பு புரிந்துகொண்டால் பிழைத்துக் கொள்வீர்கள்,politics
<dq>Ellaam untha aalaalthaan nadanthathu. Because of this man<cm> Easter bombing was being carried out within Tamil Christian church<sq>s.<dq>,politics
9,politics
யா ரு இவரா பீ குன்டி,politics
வீரகேசரி க்கு எப்ப அடி விழுமோ.\nஉன்ன விட இங்கே வேற யாரு இனவாதி,politics
Intha naaikal ippavum singala makkal thangalai kadavulaga ennukirargal enda ennam pogalla pola...,ethnicity
சூப்ப சொல்லுங்க,ethnicity
அல்லேலூயா அலப்பரைகள்!,religion
Atha Muslim per vacha nee solatha,ethnicity
Podi,other
நீயும் ஒன்ட ஓலும்.உன் அப்பன்ட யட்டிய தமிழன் உருவுவான் .தயாரா இருக்கச் சொல்.,other
அடேய் லிஸ்ட்டுல இவள மரந்துட்டீங்களேடா..........,other
வேறொண்றும் நொறுங்கல்லயைா...,other
